GPA,No_of_Projects,Internship_Experience,Problem_Solving_Skill,Hackathon_Participation,Communication_Skills,Leadership,Skill_Python,Skill_Java,Skill_SQL,Skill_Design,Preferred_Tech_Track,Career_Path
7.91,0,1,Average,3,Average,Average,0,1,1,0,Cyber,Cybersecurity Analyst
7.5,4,0,Average,2,Average,Average,1,0,0,0,Data,Cybersecurity Analyst
7.81,6,3,Average,3,Good,Average,0,1,1,0,Web Dev,Software Engineer
8.25,0,0,Poor,2,Average,Excellent,1,0,1,0,AI,Cybersecurity Analyst
7.66,3,2,Excellent,1,Average,Excellent,1,1,1,0,Cyber,Data Scientist
7.51,1,2,Good,3,Good,Poor,0,1,1,1,UI/UX,Data Scientist
8.15,6,0,Poor,3,Good,Average,1,0,0,0,Data,ML Engineer
8.15,6,0,Average,0,Average,Average,0,1,0,0,Web Dev,Cybersecurity Analyst
7.7,4,3,Average,1,Average,Average,0,0,1,1,AI,UI/UX Designer
7.72,2,3,Average,3,Average,Good,0,0,0,1,UI/UX,UI/UX Designer
8.14,3,0,Average,3,Good,Good,1,0,1,1,Web Dev,UI/UX Designer
7.13,4,0,Average,1,Good,Excellent,1,0,1,0,Cyber,Cybersecurity Analyst
7.16,0,0,Average,2,Good,Good,0,1,1,0,Cyber,Cybersecurity Analyst
7.57,0,0,Good,3,Excellent,Good,1,0,1,1,UI/UX,UI/UX Designer
7.87,0,1,Average,0,Average,Good,1,0,1,1,Cyber,ML Engineer
8.19,0,0,Good,3,Poor,Average,1,0,1,1,Data,Software Engineer
8.89,2,3,Good,0,Poor,Good,0,0,0,1,UI/UX,Cybersecurity Analyst
8.51,3,2,Good,0,Average,Average,1,1,0,0,Cyber,Software Engineer
7.9,5,1,Good,3,Excellent,Poor,0,0,1,0,AI,Data Scientist
7.99,1,0,Good,3,Good,Average,1,1,0,0,Cyber,Software Engineer
7.4,2,2,Excellent,0,Average,Average,1,1,1,0,Data,Data Scientist
7.99,2,1,Good,1,Average,Excellent,0,1,0,0,Web Dev,Software Engineer
7.83,5,2,Good,1,Good,Average,1,0,0,1,Web Dev,ML Engineer
8.19,5,0,Good,3,Good,Average,0,0,0,0,Cyber,Cybersecurity Analyst
7.5,1,0,Good,2,Average,Average,1,0,1,1,Web Dev,Software Engineer
8.31,1,3,Average,1,Excellent,Good,0,0,0,1,Cyber,UI/UX Designer
8.92,5,0,Average,3,Good,Poor,1,1,1,1,Data,ML Engineer
7.93,0,0,Average,1,Poor,Excellent,1,1,1,0,Web Dev,Data Scientist
8.24,2,1,Excellent,2,Excellent,Excellent,1,0,1,1,AI,Data Scientist
8.41,4,3,Good,3,Poor,Good,0,0,0,0,Cyber,Cybersecurity Analyst
7.76,1,1,Excellent,2,Excellent,Good,0,0,0,1,Web Dev,UI/UX Designer
8.13,1,2,Good,3,Excellent,Poor,0,0,0,0,Data,UI/UX Designer
8.01,5,0,Average,2,Good,Average,1,0,1,1,Data,ML Engineer
8.06,3,2,Poor,1,Good,Good,0,0,1,0,AI,UI/UX Designer
7.54,4,1,Good,1,Average,Poor,0,0,0,1,Data,UI/UX Designer
8.01,4,0,Good,2,Excellent,Average,0,1,1,1,Data,Software Engineer
8.3,1,0,Excellent,2,Good,Good,0,1,0,1,Web Dev,UI/UX Designer
8.87,0,1,Average,2,Good,Average,0,1,0,1,Cyber,Cybersecurity Analyst
8.58,3,1,Good,3,Excellent,Excellent,0,1,0,0,UI/UX,Software Engineer
9.29,4,1,Good,1,Excellent,Poor,0,0,0,0,Data,ML Engineer
7.54,1,1,Good,3,Good,Good,0,0,1,0,Data,Data Scientist
8.52,4,1,Good,1,Average,Good,0,0,0,1,UI/UX,Data Scientist
8.11,6,0,Good,0,Excellent,Good,0,0,0,1,Data,UI/UX Designer
9.31,3,1,Average,3,Good,Average,1,0,0,1,Web Dev,Software Engineer
7.52,3,0,Good,1,Excellent,Good,1,1,0,1,Web Dev,UI/UX Designer
7.5,6,0,Good,1,Good,Excellent,0,0,0,1,UI/UX,UI/UX Designer
7.64,2,1,Excellent,3,Average,Average,1,1,0,1,Data,Software Engineer
6.73,6,1,Good,3,Average,Average,1,0,0,0,Data,ML Engineer
7.68,5,3,Average,1,Good,Good,0,1,1,0,Cyber,Cybersecurity Analyst
7.54,5,0,Average,3,Good,Good,0,0,1,0,Data,Data Scientist
8.09,1,1,Excellent,2,Average,Average,0,1,1,0,Web Dev,Data Scientist
8.21,3,1,Good,3,Good,Excellent,1,0,1,0,AI,Data Scientist
9.13,2,1,Excellent,3,Average,Average,0,0,0,0,AI,Cybersecurity Analyst
8.57,2,3,Average,3,Good,Average,1,0,1,0,AI,ML Engineer
7.65,4,3,Good,1,Average,Good,0,0,1,0,AI,Data Scientist
7.46,4,2,Good,2,Poor,Good,1,1,1,1,Data,Data Scientist
8.3,6,0,Excellent,0,Average,Excellent,1,0,0,1,Data,ML Engineer
7.21,2,2,Average,0,Poor,Excellent,0,1,1,1,Cyber,Data Scientist
9.1,6,1,Good,2,Average,Average,0,0,1,1,Data,Data Scientist
8.71,6,3,Good,2,Poor,Poor,1,1,0,1,AI,ML Engineer
7.72,4,3,Poor,2,Poor,Poor,1,0,1,1,UI/UX,UI/UX Designer
6.97,3,2,Good,1,Excellent,Good,0,0,0,1,UI/UX,UI/UX Designer
8.81,6,3,Good,0,Excellent,Excellent,0,1,1,0,Web Dev,Data Scientist
7.93,0,1,Excellent,2,Average,Average,1,0,0,0,Web Dev,Data Scientist
8.74,3,3,Average,1,Excellent,Average,0,0,1,1,Data,Software Engineer
7.04,2,2,Average,0,Poor,Poor,1,1,1,0,UI/UX,UI/UX Designer
7.64,2,1,Poor,3,Good,Good,0,0,1,0,AI,Software Engineer
8.0,6,2,Average,1,Good,Average,0,1,0,0,AI,Data Scientist
8.03,3,3,Average,0,Average,Average,0,0,1,0,AI,ML Engineer
7.73,4,2,Good,1,Average,Good,1,1,0,0,Data,Software Engineer
8.37,4,2,Average,0,Average,Good,0,1,0,1,Data,UI/UX Designer
7.36,5,0,Excellent,0,Average,Good,1,1,0,0,Cyber,ML Engineer
7.91,2,3,Excellent,3,Good,Good,0,1,0,1,AI,UI/UX Designer
8.07,1,3,Good,1,Poor,Average,1,0,1,1,AI,Data Scientist
8.31,5,2,Excellent,2,Average,Good,1,0,1,1,Data,ML Engineer
8.43,4,0,Good,3,Average,Good,0,1,1,0,Data,Software Engineer
7.33,3,3,Good,3,Average,Excellent,1,0,0,1,Cyber,Cybersecurity Analyst
7.08,4,1,Average,0,Good,Average,1,0,1,1,Cyber,Software Engineer
8.77,3,2,Average,2,Poor,Poor,1,0,0,1,Web Dev,Data Scientist
8.2,5,3,Good,1,Excellent,Poor,1,1,0,1,UI/UX,ML Engineer
7.55,2,1,Excellent,2,Average,Average,0,0,0,0,AI,ML Engineer
8.93,4,3,Average,2,Average,Good,0,0,1,1,AI,Software Engineer
8.07,6,1,Excellent,2,Good,Poor,0,1,1,1,Cyber,Data Scientist
8.71,3,2,Good,2,Poor,Average,1,0,0,1,Cyber,Cybersecurity Analyst
8.04,2,3,Poor,2,Good,Average,1,1,1,1,Web Dev,Cybersecurity Analyst
9.24,1,3,Excellent,0,Good,Poor,0,1,1,0,UI/UX,Data Scientist
9.05,3,0,Good,0,Average,Average,0,1,0,1,Web Dev,Software Engineer
7.85,5,2,Average,3,Poor,Average,1,0,0,1,UI/UX,ML Engineer
8.58,1,1,Good,0,Average,Average,0,0,1,1,AI,Data Scientist
8.39,1,3,Poor,3,Poor,Good,0,1,0,1,Web Dev,Cybersecurity Analyst
8.82,0,3,Good,3,Poor,Good,1,1,0,1,Cyber,Software Engineer
7.42,4,1,Average,1,Average,Poor,0,1,1,1,Web Dev,ML Engineer
8.41,3,2,Average,2,Average,Excellent,1,1,1,0,Web Dev,Cybersecurity Analyst
8.64,1,0,Excellent,0,Good,Good,0,1,0,1,AI,UI/UX Designer
6.94,0,0,Good,1,Good,Good,1,1,1,0,Cyber,Cybersecurity Analyst
7.29,5,3,Average,0,Good,Poor,1,0,0,0,Cyber,Data Scientist
6.78,2,1,Average,3,Poor,Poor,1,1,0,1,Data,Software Engineer
7.84,6,3,Excellent,0,Average,Poor,1,1,1,0,Data,Data Scientist
8.43,6,1,Average,2,Excellent,Average,1,1,0,1,Data,ML Engineer
8.9,3,0,Average,3,Good,Average,0,0,0,0,AI,Software Engineer
8.04,1,2,Poor,3,Excellent,Excellent,0,0,0,1,Web Dev,UI/UX Designer
8.98,6,1,Poor,1,Average,Average,0,0,1,0,Cyber,Cybersecurity Analyst
7.17,4,0,Good,2,Good,Average,1,0,1,0,Cyber,Cybersecurity Analyst
6.98,6,3,Good,3,Good,Good,0,1,1,1,Web Dev,Data Scientist
7.97,6,1,Average,2,Average,Poor,1,0,0,0,Cyber,Cybersecurity Analyst
8.23,6,2,Good,0,Average,Good,1,1,0,0,Web Dev,ML Engineer
7.98,0,3,Average,2,Good,Good,0,1,1,0,AI,UI/UX Designer
6.76,1,3,Excellent,3,Average,Good,1,1,1,0,AI,Data Scientist
7.95,4,0,Excellent,1,Average,Excellent,0,1,1,0,AI,Software Engineer
7.22,1,1,Average,3,Good,Average,1,1,0,1,Web Dev,ML Engineer
8.4,3,3,Excellent,2,Excellent,Good,1,1,1,0,Web Dev,Data Scientist
8.22,3,2,Good,2,Average,Excellent,0,0,0,0,UI/UX,Cybersecurity Analyst
7.44,3,1,Average,3,Average,Good,1,0,1,1,Cyber,Cybersecurity Analyst
7.69,5,2,Average,2,Average,Average,0,0,0,1,Cyber,Cybersecurity Analyst
7.36,6,3,Average,0,Good,Excellent,1,0,0,1,UI/UX,UI/UX Designer
7.96,5,2,Good,3,Average,Poor,0,0,1,0,UI/UX,Data Scientist
8.57,0,0,Excellent,1,Excellent,Excellent,1,1,0,0,AI,Software Engineer
7.41,3,2,Good,3,Average,Poor,0,0,1,0,UI/UX,Data Scientist
8.3,4,1,Excellent,0,Average,Good,0,0,0,0,Web Dev,Data Scientist
7.68,1,2,Good,0,Good,Excellent,1,0,0,1,Data,UI/UX Designer
7.52,6,2,Good,0,Good,Average,0,1,1,1,Web Dev,Data Scientist
7.94,2,0,Good,0,Average,Average,1,1,0,0,UI/UX,Software Engineer
7.38,4,2,Average,0,Average,Average,1,1,1,0,Cyber,Data Scientist
7.67,6,2,Good,1,Excellent,Excellent,0,0,1,0,Web Dev,Data Scientist
7.28,5,3,Good,2,Poor,Good,0,0,1,0,Cyber,Data Scientist
9.18,5,3,Poor,0,Excellent,Good,0,0,0,1,Web Dev,UI/UX Designer
8.02,4,1,Good,0,Poor,Good,0,0,0,1,Cyber,ML Engineer
7.58,5,3,Average,3,Good,Good,0,0,0,0,Web Dev,Data Scientist
8.13,3,3,Good,1,Good,Average,1,1,1,1,Cyber,Data Scientist
7.93,0,3,Good,1,Average,Average,0,0,1,0,Data,Data Scientist
7.87,1,3,Average,2,Excellent,Good,1,1,0,0,AI,ML Engineer
8.37,0,0,Average,1,Poor,Average,0,0,0,1,Web Dev,Cybersecurity Analyst
8.45,6,3,Average,3,Average,Poor,0,1,1,0,Data,UI/UX Designer
7.68,1,0,Excellent,3,Good,Poor,0,1,0,1,AI,Software Engineer
7.65,1,0,Poor,2,Average,Poor,1,1,1,0,Web Dev,Software Engineer
7.83,0,3,Excellent,3,Good,Excellent,0,1,0,1,Data,UI/UX Designer
6.62,4,2,Average,0,Poor,Average,1,0,1,0,Data,Cybersecurity Analyst
7.09,1,0,Excellent,0,Poor,Good,1,0,0,1,Data,UI/UX Designer
8.82,0,2,Excellent,3,Poor,Average,1,0,0,0,UI/UX,Software Engineer
8.99,1,2,Average,2,Average,Average,0,1,1,0,Cyber,Cybersecurity Analyst
7.85,2,3,Good,1,Average,Average,1,0,1,1,AI,Data Scientist
8.35,4,1,Average,2,Good,Good,0,0,1,0,Cyber,Cybersecurity Analyst
8.19,3,3,Good,1,Excellent,Good,1,0,0,1,Cyber,UI/UX Designer
9.85,1,1,Poor,3,Good,Excellent,0,0,1,1,Cyber,UI/UX Designer
8.67,2,1,Poor,3,Average,Good,1,1,1,0,Data,Data Scientist
7.92,3,3,Poor,0,Average,Good,0,1,0,0,Cyber,Data Scientist
7.43,3,3,Average,1,Average,Good,0,0,1,0,UI/UX,ML Engineer
7.04,6,1,Average,2,Average,Excellent,0,0,1,0,Web Dev,Cybersecurity Analyst
8.12,1,3,Good,3,Good,Good,1,0,1,1,Data,Data Scientist
7.55,0,1,Excellent,2,Poor,Poor,1,1,0,0,AI,Software Engineer
7.15,1,2,Average,0,Average,Good,0,1,0,0,Web Dev,ML Engineer
7.61,2,3,Good,1,Excellent,Good,1,1,0,0,Web Dev,Software Engineer
7.35,3,2,Average,1,Average,Good,1,0,1,1,Web Dev,Software Engineer
9.01,1,0,Good,3,Average,Average,1,1,0,0,Cyber,Software Engineer
8.53,0,2,Excellent,1,Poor,Excellent,1,1,1,1,Cyber,Data Scientist
8.0,6,2,Excellent,3,Average,Excellent,1,1,1,0,Data,Data Scientist
8.89,1,1,Excellent,0,Excellent,Average,1,1,1,1,Cyber,Data Scientist
8.05,4,2,Poor,1,Average,Excellent,1,1,0,0,Cyber,ML Engineer
7.48,6,3,Good,3,Average,Poor,0,0,0,0,Cyber,Cybersecurity Analyst
8.91,0,1,Good,2,Poor,Poor,0,0,1,1,Data,Data Scientist
8.32,2,0,Average,3,Average,Poor,1,0,1,0,Data,Data Scientist
7.38,3,3,Excellent,1,Poor,Poor,0,0,0,0,UI/UX,Software Engineer
7.89,1,0,Poor,0,Good,Good,0,1,0,0,UI/UX,Data Scientist
7.47,0,2,Good,1,Good,Poor,0,0,0,1,UI/UX,Software Engineer
7.17,6,3,Average,1,Good,Average,1,0,1,0,UI/UX,Software Engineer
8.56,4,3,Average,3,Average,Poor,1,0,0,1,Web Dev,ML Engineer
9.15,0,0,Good,2,Good,Average,1,1,0,1,Web Dev,Software Engineer
7.16,5,3,Good,1,Good,Poor,1,0,0,1,UI/UX,Data Scientist
8.34,4,3,Average,2,Average,Good,1,1,1,0,UI/UX,ML Engineer
7.61,6,3,Average,3,Good,Poor,0,1,0,1,AI,Software Engineer
7.71,2,2,Good,2,Poor,Excellent,1,1,1,1,Web Dev,Data Scientist
7.64,3,0,Poor,3,Poor,Good,0,0,1,0,AI,UI/UX Designer
7.48,6,3,Average,0,Good,Poor,1,1,1,1,AI,ML Engineer
8.03,2,1,Excellent,2,Average,Excellent,0,0,0,1,Cyber,Cybersecurity Analyst
7.5,1,1,Good,2,Good,Poor,1,0,0,0,Data,Data Scientist
8.16,0,1,Average,0,Average,Average,1,0,0,0,Web Dev,Software Engineer
7.97,5,1,Good,2,Excellent,Poor,1,1,1,1,UI/UX,Data Scientist
7.86,4,2,Good,0,Excellent,Average,1,1,0,0,UI/UX,Software Engineer
7.46,4,3,Excellent,1,Excellent,Good,1,0,1,0,Data,Data Scientist
7.65,0,0,Good,3,Average,Good,1,1,0,0,Web Dev,Software Engineer
8.45,5,3,Average,0,Average,Average,0,1,0,1,UI/UX,Software Engineer
8.3,0,2,Average,2,Average,Good,1,1,0,1,UI/UX,Data Scientist
7.41,1,1,Average,0,Poor,Average,0,0,0,0,Cyber,Cybersecurity Analyst
8.06,2,2,Good,2,Poor,Good,1,1,1,1,AI,Data Scientist
8.45,6,3,Poor,1,Good,Average,0,1,1,0,UI/UX,ML Engineer
7.0,4,0,Good,0,Good,Poor,0,0,1,0,Web Dev,ML Engineer
8.33,1,2,Average,1,Excellent,Average,0,1,1,0,Data,Cybersecurity Analyst
7.6,2,0,Average,3,Average,Average,0,0,0,0,Cyber,Cybersecurity Analyst
8.34,1,2,Excellent,2,Average,Good,0,1,1,0,Web Dev,Data Scientist
7.54,5,0,Average,2,Poor,Good,0,1,1,1,Cyber,Cybersecurity Analyst
6.92,4,0,Poor,1,Excellent,Poor,1,1,1,1,AI,ML Engineer
7.02,6,1,Good,3,Good,Good,0,1,0,1,UI/UX,UI/UX Designer
8.03,0,0,Poor,0,Good,Good,1,1,1,1,Web Dev,UI/UX Designer
8.16,0,1,Good,0,Excellent,Excellent,1,1,1,0,Data,Data Scientist
7.46,2,3,Good,2,Good,Average,0,0,0,0,AI,Software Engineer
8.38,6,3,Average,1,Average,Average,0,1,0,1,AI,Software Engineer
7.0,3,1,Good,1,Average,Excellent,1,1,1,1,Cyber,Data Scientist
7.96,5,1,Good,0,Good,Good,0,1,1,0,AI,Data Scientist
7.27,2,2,Average,3,Average,Average,0,0,0,0,Web Dev,UI/UX Designer
7.61,3,2,Poor,3,Average,Poor,0,0,1,0,Cyber,Cybersecurity Analyst
8.03,1,2,Average,0,Excellent,Average,0,0,0,1,AI,ML Engineer
7.48,5,3,Excellent,0,Excellent,Good,0,1,1,0,Data,Data Scientist
7.77,1,2,Average,1,Good,Good,0,1,1,0,Web Dev,UI/UX Designer
8.6,6,0,Good,3,Good,Poor,0,0,1,1,Data,Data Scientist
7.65,4,0,Good,0,Good,Good,1,0,1,1,Data,UI/UX Designer
8.5,5,2,Good,0,Average,Good,0,0,1,1,Cyber,Data Scientist
7.32,3,0,Poor,2,Poor,Good,1,1,0,0,UI/UX,Cybersecurity Analyst
8.32,4,3,Average,0,Good,Good,1,0,0,0,Cyber,ML Engineer
8.86,0,0,Good,0,Good,Good,1,1,1,1,Web Dev,UI/UX Designer
6.52,3,3,Average,3,Poor,Average,1,1,1,0,Web Dev,Software Engineer
7.52,2,1,Average,1,Excellent,Excellent,0,1,1,0,Cyber,Cybersecurity Analyst
8.35,0,1,Poor,3,Poor,Average,1,0,0,0,UI/UX,ML Engineer
7.88,0,1,Average,1,Average,Average,1,1,0,1,Cyber,Cybersecurity Analyst
8.22,2,1,Excellent,2,Good,Average,1,0,0,1,Web Dev,Cybersecurity Analyst
7.64,5,0,Poor,0,Average,Poor,1,0,0,0,UI/UX,Cybersecurity Analyst
8.05,0,2,Average,2,Poor,Average,1,0,0,0,Web Dev,Data Scientist
7.91,6,0,Average,1,Average,Poor,0,0,0,0,UI/UX,UI/UX Designer
8.7,3,3,Good,3,Good,Good,0,1,0,0,UI/UX,Software Engineer
8.15,4,0,Good,3,Average,Poor,1,1,0,1,Cyber,ML Engineer
8.2,0,0,Average,2,Good,Good,0,1,1,1,Cyber,UI/UX Designer
7.75,3,3,Good,1,Good,Poor,0,1,0,0,Cyber,Software Engineer
7.71,1,1,Good,2,Poor,Excellent,1,0,0,0,UI/UX,UI/UX Designer
7.74,3,1,Excellent,2,Excellent,Good,1,0,0,1,UI/UX,UI/UX Designer
8.24,4,1,Good,0,Poor,Poor,1,0,0,0,Web Dev,ML Engineer
7.75,3,2,Average,2,Excellent,Good,0,0,1,1,Data,UI/UX Designer
8.17,2,3,Average,0,Good,Good,1,1,0,0,Cyber,Cybersecurity Analyst
9.25,4,3,Poor,0,Excellent,Good,0,0,1,1,Web Dev,UI/UX Designer
8.52,5,0,Average,3,Poor,Good,0,1,1,0,Web Dev,Data Scientist
7.8,1,2,Excellent,0,Average,Good,0,0,1,0,AI,Data Scientist
8.72,2,1,Average,0,Average,Good,1,0,0,1,Cyber,Data Scientist
7.76,5,2,Average,3,Poor,Average,0,0,0,1,Web Dev,Data Scientist
6.78,3,3,Good,2,Good,Poor,1,0,0,0,AI,UI/UX Designer
7.4,4,3,Good,1,Average,Good,1,1,1,0,Cyber,Data Scientist
6.88,1,0,Poor,1,Good,Average,1,1,1,1,UI/UX,ML Engineer
7.79,2,0,Average,1,Poor,Average,1,1,1,1,AI,ML Engineer
8.01,5,3,Average,2,Average,Poor,1,1,1,0,UI/UX,ML Engineer
9.01,5,1,Good,0,Good,Average,0,0,0,0,Data,ML Engineer
8.2,1,1,Poor,1,Average,Excellent,0,0,0,1,Data,Software Engineer
7.87,6,2,Average,2,Good,Average,0,1,0,1,Data,Cybersecurity Analyst
8.5,3,3,Good,0,Good,Average,0,1,1,1,Data,Data Scientist
6.67,1,3,Average,3,Good,Good,0,0,1,1,Web Dev,UI/UX Designer
8.14,5,1,Good,1,Average,Good,1,0,0,1,Data,ML Engineer
8.46,0,1,Average,0,Good,Average,1,1,0,0,Web Dev,UI/UX Designer
7.11,2,3,Average,1,Excellent,Average,0,1,1,0,Web Dev,Data Scientist
8.69,1,0,Excellent,1,Good,Excellent,0,1,0,1,Cyber,UI/UX Designer
8.2,6,3,Good,1,Average,Good,0,0,0,0,Web Dev,Cybersecurity Analyst
7.75,5,3,Poor,0,Good,Poor,1,1,1,0,Web Dev,Software Engineer
8.38,3,1,Good,2,Good,Poor,1,1,1,1,Data,Data Scientist
9.36,5,1,Good,0,Good,Average,1,1,1,0,Web Dev,ML Engineer
8.11,3,0,Good,1,Poor,Average,0,1,0,0,UI/UX,Software Engineer
8.15,1,0,Average,0,Average,Average,0,1,1,0,Data,UI/UX Designer
7.72,3,2,Excellent,3,Good,Excellent,0,0,0,1,AI,UI/UX Designer
7.49,4,3,Average,2,Average,Poor,0,1,0,1,Data,Cybersecurity Analyst
8.5,4,1,Average,0,Good,Good,1,0,1,0,Web Dev,ML Engineer
7.49,4,0,Average,3,Average,Average,0,1,0,0,UI/UX,Cybersecurity Analyst
8.04,6,2,Poor,2,Good,Good,0,1,1,0,Data,Software Engineer
7.71,6,2,Good,3,Poor,Good,0,1,1,0,UI/UX,Data Scientist
8.29,0,1,Poor,2,Average,Poor,1,0,0,0,AI,Cybersecurity Analyst
8.2,6,1,Poor,0,Excellent,Good,1,0,0,0,AI,ML Engineer
8.62,1,2,Excellent,3,Excellent,Poor,0,0,1,1,Cyber,Data Scientist
7.69,5,0,Average,1,Good,Excellent,1,1,1,0,Cyber,Cybersecurity Analyst
7.84,5,2,Poor,3,Average,Excellent,1,1,1,0,Data,Data Scientist
7.41,0,3,Poor,2,Good,Average,1,0,1,1,Cyber,Cybersecurity Analyst
7.73,6,3,Poor,0,Good,Average,1,0,1,0,UI/UX,ML Engineer
8.23,3,1,Average,2,Good,Average,1,1,1,0,Cyber,Cybersecurity Analyst
8.45,0,0,Good,3,Poor,Good,0,0,0,0,UI/UX,Software Engineer
7.45,3,0,Average,3,Good,Average,0,1,0,0,Cyber,Cybersecurity Analyst
8.52,3,3,Poor,1,Good,Average,0,0,0,1,Cyber,Cybersecurity Analyst
8.81,2,2,Good,0,Excellent,Average,1,0,0,0,Cyber,Cybersecurity Analyst
8.25,5,1,Good,0,Poor,Poor,1,0,1,1,Web Dev,ML Engineer
9.13,4,2,Average,3,Good,Good,1,1,0,0,Web Dev,ML Engineer
7.54,6,2,Good,0,Good,Poor,1,1,0,0,Cyber,Software Engineer
7.25,3,2,Average,1,Average,Good,0,0,1,1,UI/UX,Data Scientist
6.93,2,0,Average,2,Poor,Average,0,1,0,0,Data,UI/UX Designer
8.9,5,3,Good,0,Average,Average,0,1,1,1,AI,Data Scientist
8.39,4,0,Average,3,Average,Good,0,1,1,1,Web Dev,Software Engineer
7.97,3,3,Excellent,2,Average,Excellent,0,1,1,1,Cyber,Data Scientist
8.17,3,1,Poor,2,Good,Good,0,0,1,0,AI,Data Scientist
7.32,0,1,Good,1,Good,Average,1,1,1,0,Web Dev,Data Scientist
9.47,0,2,Poor,3,Good,Average,1,1,0,0,Data,UI/UX Designer
8.08,5,3,Good,0,Excellent,Excellent,0,0,0,0,UI/UX,UI/UX Designer
8.07,4,3,Good,3,Average,Average,1,1,0,1,Cyber,ML Engineer
8.44,3,3,Good,2,Average,Poor,0,1,1,0,Data,Data Scientist
8.29,5,2,Poor,3,Good,Excellent,0,1,0,0,Web Dev,ML Engineer
8.13,5,2,Good,0,Average,Good,1,0,0,1,Cyber,ML Engineer
7.53,1,1,Good,0,Average,Excellent,0,0,0,1,AI,Cybersecurity Analyst
8.28,6,0,Good,1,Average,Excellent,0,1,0,0,UI/UX,Software Engineer
9.13,0,3,Good,0,Poor,Excellent,0,1,1,1,Web Dev,Data Scientist
8.81,4,3,Good,0,Good,Poor,1,0,0,1,UI/UX,ML Engineer
8.96,3,0,Average,3,Average,Poor,1,0,1,1,Cyber,Cybersecurity Analyst
7.69,5,3,Average,3,Average,Good,1,0,1,1,Data,Cybersecurity Analyst
7.41,3,2,Average,2,Poor,Good,1,1,0,1,UI/UX,Cybersecurity Analyst
7.92,1,2,Poor,1,Good,Average,0,1,1,0,AI,Data Scientist
8.03,4,3,Excellent,3,Average,Average,1,0,1,0,Web Dev,ML Engineer
8.66,5,2,Good,0,Good,Average,1,1,1,0,AI,ML Engineer
6.98,3,2,Excellent,2,Average,Good,1,1,1,0,UI/UX,Data Scientist
8.92,0,3,Average,3,Average,Poor,0,1,1,0,Data,ML Engineer
7.91,6,1,Excellent,1,Good,Average,1,1,1,0,Data,Data Scientist
7.74,1,0,Good,1,Poor,Good,1,1,1,0,AI,Software Engineer
7.39,4,2,Good,2,Average,Good,0,1,0,1,Cyber,Cybersecurity Analyst
7.01,1,1,Good,2,Average,Average,0,1,0,0,Cyber,Cybersecurity Analyst
8.49,0,2,Average,2,Excellent,Good,0,0,1,0,Data,Cybersecurity Analyst
8.04,4,2,Good,2,Poor,Good,0,0,1,0,AI,Data Scientist
7.23,1,0,Good,2,Good,Average,1,0,0,1,AI,Data Scientist
7.22,2,2,Poor,0,Average,Poor,0,0,0,0,AI,Software Engineer
7.8,0,0,Average,0,Average,Average,1,0,0,0,UI/UX,ML Engineer
9.0,0,0,Excellent,3,Average,Average,1,0,0,1,Cyber,Cybersecurity Analyst
7.84,0,0,Excellent,1,Excellent,Excellent,1,0,1,0,Cyber,Cybersecurity Analyst
7.1,2,1,Excellent,0,Average,Poor,1,0,1,0,UI/UX,Data Scientist
7.85,2,3,Good,0,Poor,Good,1,0,0,1,Web Dev,UI/UX Designer
7.84,3,1,Average,0,Average,Poor,0,1,0,0,UI/UX,UI/UX Designer
6.38,5,3,Average,3,Poor,Average,1,1,0,1,AI,ML Engineer
7.97,6,3,Average,2,Poor,Good,1,0,0,0,UI/UX,ML Engineer
7.86,1,0,Poor,3,Good,Average,1,1,1,0,AI,Data Scientist
8.42,3,2,Average,1,Poor,Average,0,1,0,0,Data,Software Engineer
9.11,1,0,Average,1,Poor,Average,1,0,0,1,AI,ML Engineer
8.68,6,2,Average,1,Good,Average,1,0,0,1,Cyber,ML Engineer
7.84,5,3,Excellent,1,Average,Good,0,0,1,1,UI/UX,Data Scientist
7.34,2,0,Average,0,Poor,Average,1,1,1,0,AI,ML Engineer
9.54,5,2,Excellent,0,Average,Excellent,1,1,1,0,Web Dev,ML Engineer
8.04,2,1,Good,3,Good,Good,0,0,0,1,Data,UI/UX Designer
8.01,6,2,Average,2,Average,Average,1,1,0,1,Web Dev,ML Engineer
7.99,5,0,Average,1,Average,Poor,1,1,0,0,Web Dev,ML Engineer
8.12,3,1,Poor,3,Poor,Average,1,1,1,0,Web Dev,ML Engineer
7.91,4,2,Average,0,Good,Good,1,0,1,0,Data,UI/UX Designer
7.66,3,2,Good,0,Average,Average,1,1,0,0,Data,Software Engineer
7.67,1,2,Poor,2,Good,Good,0,1,0,1,Data,UI/UX Designer
7.98,3,2,Average,2,Good,Average,0,1,1,0,Data,ML Engineer
7.67,6,2,Average,2,Good,Good,0,1,0,0,Web Dev,ML Engineer
7.57,0,1,Excellent,3,Average,Poor,1,1,0,0,Cyber,Software Engineer
8.06,1,3,Good,0,Average,Excellent,1,1,0,0,Cyber,Software Engineer
7.85,5,1,Good,0,Average,Average,1,1,1,0,Data,Data Scientist
8.9,1,1,Poor,2,Average,Average,0,0,0,0,UI/UX,Data Scientist
6.41,4,1,Good,1,Average,Average,1,0,0,0,AI,Software Engineer
8.65,2,3,Good,2,Good,Average,1,1,0,1,UI/UX,Software Engineer
8.75,5,0,Good,3,Average,Excellent,1,0,0,1,UI/UX,ML Engineer
